Cost,Path,Function-Type,Start,Iteration
1636,"['Devils', 'Flyers', 'Penguins', 'Blue Jackets', 'Hurricanes', 'Capitals', 'Islanders', 'Rangers', 'Devils']",Simple,Devils,40
1545,"['Devils', 'Rangers', 'Islanders', 'Devils', 'Flyers', 'Hurricanes', 'Capitals', 'Blue Jackets', 'Penguins']",Simple,Devils,41
2028,"['Devils', 'Islanders', 'Hurricanes', 'Capitals', 'Blue Jackets', 'Penguins', 'Rangers', 'Flyers', 'Devils']",Simple,Devils,42
1796,"['Devils', 'Flyers', 'Devils', 'Penguins', 'Blue Jackets', 'Capitals', 'Islanders', 'Rangers', 'Hurricanes']",Simple,Devils,43
2199,"['Devils', 'Blue Jackets', 'Capitals', 'Hurricanes', 'Penguins', 'Flyers', 'Islanders', 'Rangers', 'Devils']",Simple,Devils,44
2246,"['Devils', 'Penguins', 'Islanders', 'Flyers', 'Devils', 'Rangers', 'Capitals', 'Hurricanes', 'Blue Jackets']",Simple,Devils,45
2003,"['Devils', 'Capitals', 'Flyers', 'Hurricanes', 'Islanders', 'Devils', 'Rangers', 'Penguins', 'Blue Jackets']",Simple,Devils,46
1846,"['Devils', 'Rangers', 'Blue Jackets', 'Penguins', 'Capitals', 'Flyers', 'Islanders', 'Devils', 'Hurricanes']",Simple,Devils,47
2084,"['Devils', 'Rangers', 'Blue Jackets', 'Penguins', 'Devils', 'Capitals', 'Islanders', 'Flyers', 'Hurricanes']",Simple,Devils,48
1687,"['Devils', 'Islanders', 'Rangers', 'Devils', 'Blue Jackets', 'Penguins', 'Capitals', 'Flyers', 'Hurricanes']",Simple,Devils,49
1776,"['Devils', 'Hurricanes', 'Blue Jackets', 'Penguins', 'Rangers', 'Islanders', 'Devils', 'Flyers', 'Capitals']",Simple,Devils,50
1638,"['Devils', 'Flyers', 'Capitals', 'Hurricanes', 'Devils', 'Rangers', 'Islanders', 'Penguins', 'Blue Jackets']",Simple,Devils,51
