Cost,Path,Function-Type,Start
5251,"['Bruins', 'Canadiens', 'Sabres', 'Maple Leafs', 'Lightning', 'Panthers', 'Senators', 'Red Wings', 'Bruins']",Simple,Bruins
4399,"['Bruins', 'Sabres', 'Senators', 'Red Wings', 'Bruins', 'Canadiens', 'Maple Leafs', 'Panthers', 'Lightning']",Simple,Bruins
4454,"['Bruins', 'Canadiens', 'Bruins', 'Senators', 'Panthers', 'Lightning', 'Red Wings', 'Maple Leafs', 'Sabres']",Simple,Bruins
4464,"['Bruins', 'Sabres', 'Maple Leafs', 'Canadiens', 'Red Wings', 'Bruins', 'Senators', 'Panthers', 'Lightning']",Simple,Bruins
4464,"['Bruins', 'Canadiens', 'Senators', 'Bruins', 'Panthers', 'Lightning', 'Maple Leafs', 'Red Wings', 'Sabres']",Simple,Bruins
5435,"['Bruins', 'Canadiens', 'Sabres', 'Senators', 'Lightning', 'Panthers', 'Red Wings', 'Bruins', 'Maple Leafs']",Simple,Bruins
6381,"['Bruins', 'Lightning', 'Senators', 'Maple Leafs', 'Sabres', 'Canadiens', 'Red Wings', 'Bruins', 'Panthers']",Simple,Bruins
4100,"['Bruins', 'Red Wings', 'Canadiens', 'Maple Leafs', 'Sabres', 'Senators', 'Bruins', 'Lightning', 'Panthers']",Simple,Bruins
5315,"['Bruins', 'Red Wings', 'Bruins', 'Senators', 'Canadiens', 'Maple Leafs', 'Panthers', 'Lightning', 'Sabres']",Simple,Bruins
4640,"['Bruins', 'Panthers', 'Lightning', 'Bruins', 'Canadiens', 'Maple Leafs', 'Senators', 'Sabres', 'Red Wings']",Simple,Bruins
4972,"['Bruins', 'Red Wings', 'Lightning', 'Panthers', 'Sabres', 'Senators', 'Bruins', 'Canadiens', 'Maple Leafs']",Simple,Bruins
5239,"['Bruins', 'Lightning', 'Panthers', 'Sabres', 'Senators', 'Maple Leafs', 'Canadiens', 'Red Wings', 'Bruins']",Simple,Bruins
4866,"['Bruins', 'Maple Leafs', 'Bruins', 'Canadiens', 'Senators', 'Panthers', 'Lightning', 'Red Wings', 'Sabres']",Simple,Bruins
3643,"['Bruins', 'Senators', 'Bruins', 'Canadiens', 'Maple Leafs', 'Red Wings', 'Sabres', 'Panthers', 'Lightning']",Simple,Bruins
4837,"['Bruins', 'Senators', 'Bruins', 'Lightning', 'Panthers', 'Red Wings', 'Maple Leafs', 'Canadiens', 'Sabres']",Simple,Bruins
4410,"['Bruins', 'Maple Leafs', 'Sabres', 'Senators', 'Red Wings', 'Bruins', 'Canadiens', 'Panthers', 'Lightning']",Simple,Bruins
4938,"['Bruins', 'Canadiens', 'Bruins', 'Maple Leafs', 'Lightning', 'Panthers', 'Sabres', 'Red Wings', 'Senators']",Simple,Bruins
4619,"['Bruins', 'Sabres', 'Red Wings', 'Maple Leafs', 'Senators', 'Canadiens', 'Lightning', 'Panthers', 'Bruins']",Simple,Bruins
4879,"['Bruins', 'Canadiens', 'Sabres', 'Bruins', 'Senators', 'Maple Leafs', 'Lightning', 'Panthers', 'Red Wings']",Simple,Bruins
4772,"['Bruins', 'Canadiens', 'Senators', 'Panthers', 'Lightning', 'Red Wings', 'Sabres', 'Bruins', 'Maple Leafs']",Simple,Bruins
5550,"['Bruins', 'Red Wings', 'Bruins', 'Canadiens', 'Lightning', 'Panthers', 'Senators', 'Sabres', 'Maple Leafs']",Simple,Bruins
5216,"['Bruins', 'Red Wings', 'Panthers', 'Lightning', 'Maple Leafs', 'Canadiens', 'Sabres', 'Senators', 'Bruins']",Simple,Bruins
5750,"['Bruins', 'Maple Leafs', 'Canadiens', 'Senators', 'Sabres', 'Bruins', 'Lightning', 'Red Wings', 'Panthers']",Simple,Bruins
4655,"['Bruins', 'Maple Leafs', 'Red Wings', 'Lightning', 'Panthers', 'Bruins', 'Sabres', 'Senators', 'Canadiens']",Simple,Bruins
4279,"['Bruins', 'Canadiens', 'Bruins', 'Senators', 'Maple Leafs', 'Sabres', 'Panthers', 'Lightning', 'Red Wings']",Simple,Bruins
5082,"['Bruins', 'Maple Leafs', 'Senators', 'Sabres', 'Canadiens', 'Red Wings', 'Lightning', 'Panthers', 'Bruins']",Simple,Bruins
4364,"['Bruins', 'Canadiens', 'Senators', 'Bruins', 'Maple Leafs', 'Sabres', 'Panthers', 'Lightning', 'Red Wings']",Simple,Bruins
5128,"['Bruins', 'Sabres', 'Senators', 'Bruins', 'Lightning', 'Panthers', 'Maple Leafs', 'Red Wings', 'Canadiens']",Simple,Bruins
4723,"['Bruins', 'Senators', 'Maple Leafs', 'Sabres', 'Canadiens', 'Red Wings', 'Lightning', 'Panthers', 'Bruins']",Simple,Bruins
4528,"['Bruins', 'Canadiens', 'Senators', 'Sabres', 'Red Wings', 'Lightning', 'Panthers', 'Maple Leafs', 'Bruins']",Simple,Bruins
3678,"['Bruins', 'Red Wings', 'Maple Leafs', 'Sabres', 'Bruins', 'Canadiens', 'Senators', 'Lightning', 'Panthers']",Simple,Bruins
4425,"['Bruins', 'Canadiens', 'Senators', 'Bruins', 'Sabres', 'Maple Leafs', 'Lightning', 'Panthers', 'Red Wings']",Simple,Bruins
4441,"['Bruins', 'Maple Leafs', 'Bruins', 'Canadiens', 'Sabres', 'Red Wings', 'Senators', 'Panthers', 'Lightning']",Simple,Bruins
4880,"['Bruins', 'Red Wings', 'Sabres', 'Maple Leafs', 'Lightning', 'Panthers', 'Canadiens', 'Senators', 'Bruins']",Simple,Bruins
3685,"['Bruins', 'Senators', 'Sabres', 'Maple Leafs', 'Canadiens', 'Bruins', 'Red Wings', 'Lightning', 'Panthers']",Simple,Bruins
3928,"['Bruins', 'Senators', 'Bruins', 'Sabres', 'Canadiens', 'Maple Leafs', 'Red Wings', 'Panthers', 'Lightning']",Simple,Bruins
4851,"['Bruins', 'Panthers', 'Lightning', 'Sabres', 'Red Wings', 'Canadiens', 'Bruins', 'Senators', 'Maple Leafs']",Simple,Bruins
3970,"['Bruins', 'Canadiens', 'Maple Leafs', 'Senators', 'Bruins', 'Red Wings', 'Sabres', 'Panthers', 'Lightning']",Simple,Bruins
4534,"['Bruins', 'Canadiens', 'Maple Leafs', 'Senators', 'Sabres', 'Red Wings', 'Panthers', 'Lightning', 'Bruins']",Simple,Bruins
4411,"['Bruins', 'Canadiens', 'Bruins', 'Senators', 'Maple Leafs', 'Red Wings', 'Lightning', 'Panthers', 'Sabres']",Simple,Bruins
4002,"['Bruins', 'Maple Leafs', 'Red Wings', 'Canadiens', 'Senators', 'Bruins', 'Sabres', 'Panthers', 'Lightning']",Simple,Bruins
5385,"['Bruins', 'Red Wings', 'Canadiens', 'Sabres', 'Lightning', 'Panthers', 'Maple Leafs', 'Senators', 'Bruins']",Simple,Bruins
4610,"['Bruins', 'Red Wings', 'Sabres', 'Maple Leafs', 'Panthers', 'Lightning', 'Bruins', 'Canadiens', 'Senators']",Simple,Bruins
4859,"['Bruins', 'Senators', 'Lightning', 'Panthers', 'Maple Leafs', 'Red Wings', 'Sabres', 'Canadiens', 'Bruins']",Simple,Bruins
4623,"['Bruins', 'Senators', 'Maple Leafs', 'Panthers', 'Lightning', 'Red Wings', 'Sabres', 'Canadiens', 'Bruins']",Simple,Bruins
4994,"['Bruins', 'Senators', 'Bruins', 'Canadiens', 'Red Wings', 'Sabres', 'Lightning', 'Panthers', 'Maple Leafs']",Simple,Bruins
5225,"['Bruins', 'Maple Leafs', 'Panthers', 'Lightning', 'Red Wings', 'Canadiens', 'Sabres', 'Senators', 'Bruins']",Simple,Bruins
3982,"['Bruins', 'Red Wings', 'Canadiens', 'Senators', 'Maple Leafs', 'Sabres', 'Bruins', 'Panthers', 'Lightning']",Simple,Bruins
5082,"['Bruins', 'Maple Leafs', 'Senators', 'Sabres', 'Canadiens', 'Red Wings', 'Lightning', 'Panthers', 'Bruins']",Simple,Bruins
4528,"['Bruins', 'Red Wings', 'Lightning', 'Panthers', 'Maple Leafs', 'Sabres', 'Senators', 'Canadiens', 'Bruins']",Simple,Bruins
4958,"['Bruins', 'Maple Leafs', 'Canadiens', 'Bruins', 'Senators', 'Panthers', 'Lightning', 'Red Wings', 'Sabres']",Simple,Bruins
4615,"['Bruins', 'Senators', 'Maple Leafs', 'Red Wings', 'Panthers', 'Lightning', 'Sabres', 'Bruins', 'Canadiens']",Simple,Bruins
4783,"['Bruins', 'Canadiens', 'Maple Leafs', 'Panthers', 'Lightning', 'Bruins', 'Senators', 'Sabres', 'Red Wings']",Simple,Bruins
4746,"['Bruins', 'Senators', 'Sabres', 'Canadiens', 'Maple Leafs', 'Red Wings', 'Panthers', 'Lightning', 'Bruins']",Simple,Bruins
3618,"['Bruins', 'Senators', 'Canadiens', 'Sabres', 'Red Wings', 'Maple Leafs', 'Bruins', 'Lightning', 'Panthers']",Simple,Bruins
5827,"['Bruins', 'Canadiens', 'Senators', 'Lightning', 'Bruins', 'Red Wings', 'Sabres', 'Maple Leafs', 'Panthers']",Simple,Bruins
4671,"['Bruins', 'Sabres', 'Senators', 'Maple Leafs', 'Bruins', 'Red Wings', 'Canadiens', 'Lightning', 'Panthers']",Simple,Bruins
3792,"['Bruins', 'Canadiens', 'Red Wings', 'Maple Leafs', 'Senators', 'Bruins', 'Sabres', 'Lightning', 'Panthers']",Simple,Bruins
4972,"['Bruins', 'Canadiens', 'Red Wings', 'Sabres', 'Panthers', 'Lightning', 'Bruins', 'Maple Leafs', 'Senators']",Simple,Bruins
3361,"['Bruins', 'Senators', 'Bruins', 'Canadiens', 'Sabres', 'Maple Leafs', 'Red Wings', 'Lightning', 'Panthers']",Simple,Bruins
4856,"['Bruins', 'Sabres', 'Canadiens', 'Maple Leafs', 'Senators', 'Bruins', 'Panthers', 'Lightning', 'Red Wings']",Simple,Bruins
4168,"['Bruins', 'Sabres', 'Bruins', 'Canadiens', 'Red Wings', 'Maple Leafs', 'Senators', 'Panthers', 'Lightning']",Simple,Bruins
4614,"['Bruins', 'Sabres', 'Bruins', 'Maple Leafs', 'Canadiens', 'Red Wings', 'Senators', 'Lightning', 'Panthers']",Simple,Bruins
4737,"['Bruins', 'Canadiens', 'Sabres', 'Red Wings', 'Maple Leafs', 'Lightning', 'Panthers', 'Bruins', 'Senators']",Simple,Bruins
6403,"['Bruins', 'Lightning', 'Sabres', 'Maple Leafs', 'Bruins', 'Senators', 'Red Wings', 'Canadiens', 'Panthers']",Simple,Bruins
