Cost,Path,Function-Type,Start
7127,"['Jets', 'Predators', 'Stars', 'Coyotes', 'Wild', 'Jets', 'Blackhawks', 'Blues', 'Avalanche']",Simple,Jets
6867,"['Jets', 'Blackhawks', 'Blues', 'Predators', 'Wild', 'Stars', 'Avalanche', 'Coyotes', 'Jets']",Simple,Jets
6958,"['Jets', 'Avalanche', 'Predators', 'Blues', 'Stars', 'Coyotes', 'Blackhawks', 'Wild', 'Jets']",Simple,Jets
6639,"['Jets', 'Blackhawks', 'Stars', 'Predators', 'Coyotes', 'Avalanche', 'Blues', 'Wild', 'Jets']",Simple,Jets
6633,"['Jets', 'Wild', 'Coyotes', 'Avalanche', 'Jets', 'Stars', 'Blues', 'Predators', 'Blackhawks']",Simple,Jets
6624,"['Jets', 'Wild', 'Predators', 'Stars', 'Blues', 'Blackhawks', 'Avalanche', 'Coyotes', 'Jets']",Simple,Jets
5660,"['Jets', 'Avalanche', 'Coyotes', 'Stars', 'Jets', 'Wild', 'Blackhawks', 'Blues', 'Predators']",Simple,Jets
7647,"['Jets', 'Avalanche', 'Stars', 'Coyotes', 'Jets', 'Blackhawks', 'Wild', 'Predators', 'Blues']",Simple,Jets
7303,"['Jets', 'Wild', 'Blues', 'Stars', 'Blackhawks', 'Avalanche', 'Coyotes', 'Predators', 'Jets']",Simple,Jets
6345,"['Jets', 'Wild', 'Blues', 'Avalanche', 'Coyotes', 'Stars', 'Blackhawks', 'Predators', 'Jets']",Simple,Jets
7262,"['Jets', 'Coyotes', 'Stars', 'Avalanche', 'Jets', 'Blues', 'Predators', 'Blackhawks', 'Wild']",Simple,Jets
7077,"['Jets', 'Blackhawks', 'Blues', 'Wild', 'Stars', 'Coyotes', 'Avalanche', 'Predators', 'Jets']",Simple,Jets
6209,"['Jets', 'Predators', 'Stars', 'Coyotes', 'Avalanche', 'Jets', 'Wild', 'Blues', 'Blackhawks']",Simple,Jets
4997,"['Jets', 'Wild', 'Jets', 'Avalanche', 'Coyotes', 'Stars', 'Blues', 'Predators', 'Blackhawks']",Simple,Jets
6768,"['Jets', 'Wild', 'Coyotes', 'Avalanche', 'Blackhawks', 'Stars', 'Predators', 'Blues', 'Jets']",Simple,Jets
6092,"['Jets', 'Wild', 'Predators', 'Stars', 'Coyotes', 'Avalanche', 'Blackhawks', 'Blues', 'Jets']",Simple,Jets
6372,"['Jets', 'Predators', 'Stars', 'Blues', 'Blackhawks', 'Wild', 'Jets', 'Coyotes', 'Avalanche']",Simple,Jets
7123,"['Jets', 'Blackhawks', 'Wild', 'Blues', 'Predators', 'Coyotes', 'Avalanche', 'Jets', 'Stars']",Simple,Jets
6601,"['Jets', 'Coyotes', 'Avalanche', 'Blues', 'Predators', 'Stars', 'Blackhawks', 'Jets', 'Wild']",Simple,Jets
5258,"['Jets', 'Wild', 'Jets', 'Blues', 'Stars', 'Predators', 'Blackhawks', 'Avalanche', 'Coyotes']",Simple,Jets
5742,"['Jets', 'Wild', 'Coyotes', 'Avalanche', 'Stars', 'Blues', 'Predators', 'Blackhawks', 'Jets']",Simple,Jets
