Cost,Path,Function-Type,Start,Iteration 
4652,"['Golden Knights', 'Canucks', 'Kraken', 'Flames', 'Oilers', 'Golden Knights', 'Sharks', 'Kings', 'Ducks']",Simple,Golden Knights,39
5444,"['Golden Knights', 'Sharks', 'Flames', 'Oilers', 'Canucks', 'Kings', 'Ducks', 'Golden Knights', 'Kraken']",Simple,Golden Knights,40
5652,"['Golden Knights', 'Ducks', 'Golden Knights', 'Flames', 'Kings', 'Sharks', 'Canucks', 'Kraken', 'Oilers']",Simple,Golden Knights,41
3695,"['Golden Knights', 'Kings', 'Ducks', 'Sharks', 'Kraken', 'Golden Knights', 'Canucks', 'Flames', 'Oilers']",Simple,Golden Knights,42
4836,"['Golden Knights', 'Oilers', 'Flames', 'Ducks', 'Kings', 'Sharks', 'Canucks', 'Kraken', 'Golden Knights']",Simple,Golden Knights,43
4922,"['Golden Knights', 'Ducks', 'Sharks', 'Kings', 'Flames', 'Canucks', 'Kraken', 'Golden Knights', 'Oilers']",Simple,Golden Knights,44
5271,"['Golden Knights', 'Kraken', 'Golden Knights', 'Ducks', 'Oilers', 'Flames', 'Canucks', 'Sharks', 'Kings']",Simple,Golden Knights,45
3424,"['Golden Knights', 'Flames', 'Oilers', 'Canucks', 'Kraken', 'Golden Knights', 'Sharks', 'Ducks', 'Kings']",Simple,Golden Knights,46
4192,"['Golden Knights', 'Ducks', 'Kings', 'Sharks', 'Flames', 'Canucks', 'Oilers', 'Kraken', 'Golden Knights']",Simple,Golden Knights,47
5528,"['Golden Knights', 'Ducks', 'Golden Knights', 'Kings', 'Kraken', 'Canucks', 'Flames', 'Sharks', 'Oilers']",Simple,Golden Knights,48
5653,"['Golden Knights', 'Flames', 'Oilers', 'Canucks', 'Ducks', 'Kraken', 'Golden Knights', 'Sharks', 'Kings']",Simple,Golden Knights,49
5637,"['Golden Knights', 'Kraken', 'Oilers', 'Flames', 'Sharks', 'Ducks', 'Golden Knights', 'Kings', 'Canucks']",Simple,Golden Knights,50
4372,"['Golden Knights', 'Canucks', 'Flames', 'Oilers', 'Kraken', 'Sharks', 'Ducks', 'Kings', 'Golden Knights']",Simple,Golden Knights,51
4397,"['Golden Knights', 'Kings', 'Flames', 'Oilers', 'Canucks', 'Kraken', 'Sharks', 'Ducks', 'Golden Knights']",Simple,Golden Knights,52
4882,"['Golden Knights', 'Kings', 'Flames', 'Canucks', 'Kraken', 'Golden Knights', 'Ducks', 'Sharks', 'Oilers']",Simple,Golden Knights,53
5404,"['Golden Knights', 'Flames', 'Canucks', 'Oilers', 'Kraken', 'Ducks', 'Kings', 'Golden Knights', 'Sharks']",Simple,Golden Knights,54
3728,"['Golden Knights', 'Kings', 'Sharks', 'Ducks', 'Oilers', 'Flames', 'Canucks', 'Kraken', 'Golden Knights']",Simple,Golden Knights,55
4961,"['Golden Knights', 'Kings', 'Ducks', 'Oilers', 'Flames', 'Golden Knights', 'Sharks', 'Kraken', 'Canucks']",Simple,Golden Knights,56
4370,"['Golden Knights', 'Kings', 'Ducks', 'Sharks', 'Golden Knights', 'Kraken', 'Flames', 'Canucks', 'Oilers']",Simple,Golden Knights,57
5919,"['Golden Knights', 'Sharks', 'Ducks', 'Kings', 'Flames', 'Kraken', 'Oilers', 'Canucks', 'Golden Knights']",Simple,Golden Knights,58
4727,"['Golden Knights', 'Ducks', 'Flames', 'Oilers', 'Canucks', 'Kraken', 'Kings', 'Golden Knights', 'Sharks']",Simple,Golden Knights,59
5848,"['Golden Knights', 'Sharks', 'Flames', 'Oilers', 'Kraken', 'Kings', 'Golden Knights', 'Ducks', 'Canucks']",Simple,Golden Knights,60
4408,"['Golden Knights', 'Flames', 'Oilers', 'Canucks', 'Kraken', 'Ducks', 'Kings', 'Sharks', 'Golden Knights']",Simple,Golden Knights,61
5111,"['Golden Knights', 'Sharks', 'Ducks', 'Kings', 'Canucks', 'Flames', 'Kraken', 'Golden Knights', 'Oilers']",Simple,Golden Knights,62
4665,"['Golden Knights', 'Kraken', 'Canucks', 'Flames', 'Oilers', 'Ducks', 'Golden Knights', 'Kings', 'Sharks']",Simple,Golden Knights,63
4486,"['Golden Knights', 'Kings', 'Golden Knights', 'Sharks', 'Ducks', 'Flames', 'Canucks', 'Kraken', 'Oilers']",Simple,Golden Knights,64
